date,tour,tournament,winner,loser,w_games,l_games
2026-06-22,ATP,Wimbledon,Jaime Faria,Hugo Grenier,12,6
2026-06-22,ATP,Wimbledon,Shintaro Mochizuki,Vitaliy Sachko,13,9
2026-06-22,ATP,Wimbledon,Moez Echargui,Edas Butvilas,16,14
2026-06-22,ATP,Wimbledon,Daniel Evans,Juan Carlos Prado Angelo,13,9
2026-06-22,ATP,Wimbledon,Kyrian Jacquet,Pedro Boscardin Dias,13,7
2026-06-22,ATP,Wimbledon,Timofey Skatov,Alex Barrena,13,9
2026-06-22,ATP,Wimbledon,Stefanos Sakellaridis,Yu Hsiou Hsu,12,6
2026-06-22,ATP,Wimbledon,Oliver Tarvet,Alex Bolt,14,11
2026-06-22,ATP,Wimbledon,Arthur Gea,Raul Brancaccio,13,8
2026-06-22,ATP,Wimbledon,Tristan Schoolkate,Johannus Monday,13,8
2026-06-22,ATP,Wimbledon,Andrea Guerrieri,David Goffin,16,13
2026-06-22,ATP,Wimbledon,Harold Mayot,Nicolas Moreno De Alboran,12,4
2026-06-22,ATP,Wimbledon,Gauthier Onclin,Lorenzo Giustino,13,8
2026-06-22,ATP,Wimbledon,Keegan Smith,Juan Pablo Ficovich,13,7
2026-06-22,ATP,Wimbledon,Elias Ymer,Nikoloz Basilashvili,15,15
2026-06-22,ATP,Wimbledon,Alejandro Moro Canas,Francisco Comesana,17,16
2026-06-22,ATP,Wimbledon,Bu Yunchaokete,Hugo Dellien,12,4
2026-06-22,ATP,Wimbledon,Borna Gojo,Chak Lam Coleman Wong,13,8
2026-06-22,ATP,Wimbledon,Federico Cina,Gianluca Cadenasso,12,5
2026-06-22,ATP,Wimbledon,Roman Safiullin,James McCabe,13,9
2026-06-22,ATP,Wimbledon,Aziz Dougaz,Clement Chidekh,12,8
2026-06-22,ATP,Wimbledon,Luka Pavlovic,Mark Lajal,12,8
2026-06-22,ATP,Wimbledon,Colton Smith,Andy Andrade,16,12
2026-06-22,ATP,Wimbledon,Michael Zheng,Henri Squire,13,8
2026-06-22,ATP,Wimbledon,Hugo Gaston,Lautaro Midon,16,13
2026-06-22,ATP,Wimbledon,Clement Tabur,Federico Agustin Gomez,12,7
2026-06-22,ATP,Wimbledon,Kimmer Coppejans,Daniil Glinka,12,7
2026-06-22,ATP,Wimbledon,Laslo Djere,Max Houkes,13,9
2026-06-22,ATP,Wimbledon,Rei Sakamoto,Anton Matusevich,16,15
2026-06-22,ATP,Wimbledon,SoonWoo Kwon,Nikolas Sanchez Izquierdo,13,9
2026-06-22,ATP,Wimbledon,Darwin Blanch,Filip Cristian Jianu,13,10
2026-06-22,ATP,Wimbledon,Pablo Llamas Ruiz,Dan Added,12,6
2026-06-22,ATP,Wimbledon,Jerome Kym,Gonzalo Bueno,17,12
2026-06-22,ATP,Wimbledon,Tom Gentzsch,Zdenek Kolar,12,6
2026-06-22,ATP,Wimbledon,Mackenzie McDonald,Felipe Meligeni Alves,18,12
2026-06-22,ATP,Wimbledon,Paul Jubb,Pierre-Hugues Herbert,14,11
2026-06-22,ATP,Wimbledon,Bernard Tomic,Kaichi Uchida,12,5
2026-06-22,ATP,Wimbledon,Christopher O'Connell,Joel Josef Schwaerzler,13,10
2026-06-22,ATP,Wimbledon,Vilius Gaubas,Michael Mmoh,16,11
2026-06-22,ATP,Wimbledon,Roberto Carballes Baena,Mark Ceban,12,6
2026-06-22,ATP,Wimbledon,Henry Searle,Zhang Zhizhen,12,7
2026-06-22,ATP,Wimbledon,Dusan Lajovic,Lukas Neumayer,12,8
2026-06-22,ATP,Wimbledon,Remy Bertola,Liam Draxl,15,13
2026-06-22,ATP,Wimbledon,Gustavo Heide,Chun-Hsin Tseng,13,10
2026-06-22,ATP,Wimbledon,Jurij Rodionov,Oliver Crawford,12,8
2026-06-22,ATP,Wimbledon,Matej Dodig,Frederico Ferreira Silva,17,18
2026-06-22,ATP,Wimbledon,Tomas Barrios Vera,Marco Cecchinato,13,9
2026-06-22,ATP,Wimbledon,Chris Rodesch,Florent Bax,18,12
2026-06-22,ATP,Wimbledon,Nicolas Mejia,Henrique Rocha,18,13
2026-06-22,ATP,Wimbledon,Luca Nardi,Rio Noguchi,12,5
2026-06-22,ATP,Wimbledon,Max Basing,Francesco Maestrelli,17,16
2026-06-22,ATP,Wimbledon,Federico Coria,Oliver Bonding,13,8
2026-06-22,ATP,Wimbledon,Dane Sweeny,Franco Roncadelli,12,6
2026-06-22,ATP,Wimbledon,Pol Martin Tiffon,Gilles Arnaud Bailly,12,8
2026-06-22,ATP,Wimbledon,August Holmgren,Liam Broady,18,17
2026-06-22,ATP,Wimbledon,Tristan Boyer,Genaro Alberto Olivieri,12,5
2026-06-22,ATP,Wimbledon,Alexis Galarneau,Facundo Diaz Acosta,12,4
2026-06-22,ATP,Wimbledon,Stefano Travaglia,Luka Mikrut,14,11
2026-06-22,ATP,Wimbledon,Andrea Pellegrino,Jay Clarke,15,16
2026-06-22,ATP,Wimbledon,Otto Virtanen,Pedro Martinez,13,11
2026-06-22,ATP,Wimbledon,Nicolai Budkov Kjaer,Joao Lucas Reis Da Silva,18,12
2026-06-22,ATP,Wimbledon,Zhou Yi,Guy Den Ouden,12,8
2026-06-22,ATP,Wimbledon,Billy Harris,Stefano Napolitano,12,4
2026-06-22,ATP,Wimbledon,Zsombor Piros,Ivan Ivanov,12,4
2026-06-23,ATP,Wimbledon,Polina Iatcenko,Leyre Romero Gormaz,12,3
2026-06-23,ATP,Wimbledon,Suzan Lamens,Amelia Rajecki,13,8
2026-06-23,ATP,Wimbledon,Lucia Bronzetti,Maddison Inglis,15,13
2026-06-23,ATP,Wimbledon,Erika Andreeva,Ma YeXin,12,3
2026-06-23,ATP,Wimbledon,Katarzyna Kawa,Susan Bandecchi,12,4
2026-06-23,ATP,Wimbledon,Kayla Day,Cadence Brace,12,7
2026-06-23,ATP,Wimbledon,Emerson Jones,Linda Fruhvirtova,12,3
2026-06-23,ATP,Wimbledon,Lucrezia Stefanini,Luisina Giovannini,14,12
2026-06-23,ATP,Wimbledon,Justina Mikulskyte,Carol Zhao,13,9
2026-06-23,ATP,Wimbledon,Claire Liu,Despina Papamichail,12,3
2026-06-23,ATP,Wimbledon,Kaitlin Quevedo,Sayaka Ishii,12,3
2026-06-23,ATP,Wimbledon,Anastasia Gasanova,Varvara Lepchenko,15,13
2026-06-23,ATP,Wimbledon,Darja Semenistaja,Anna Siskova,15,17
2026-06-23,ATP,Wimbledon,Caroline Werner,Alice Rame,17,12
2026-06-23,ATP,Wimbledon,Jil Teichmann,Rebeka Masarova,13,10
2026-06-23,ATP,Wimbledon,Ekaterine Gorgodze,Vendula Valdmannova,13,8
2026-06-23,ATP,Wimbledon,Storm Hunter,Sofia Costoulas,13,9
2026-06-23,ATP,Wimbledon,Lina Gjorcheska,Angela Fita Boluda,12,6
2026-06-23,ATP,Wimbledon,Nao Hibino,Priscilla Hon,12,4
2026-06-23,ATP,Wimbledon,Elena Pridankina,Alice Tubello,12,2
2026-06-23,ATP,Wimbledon,Mananchaya Sawangkaew,Anouk Koevermans,13,13
2026-06-23,ATP,Wimbledon,Andrea Lazaro Garcia,Nuria Brancaccio,12,7
2026-06-23,ATP,Wimbledon,Alina Korneeva,Alexandra Shubladze,15,15
2026-06-23,ATP,Wimbledon,Julia Riera,Daniella Britton,14,12
2026-06-23,ATP,Wimbledon,Harmony Tan,Mia Pohankova,15,13
2026-06-23,ATP,Wimbledon,Lulu Sun,Linda Klimovicova,14,11
2026-06-23,ATP,Wimbledon,Tyra Caterina Grant,Taylah Preston,14,11
2026-06-23,ATP,Wimbledon,Greet Minnen,Fiona Ferro,12,4
2026-06-23,ATP,Wimbledon,Iryna Shymanovich,Dominika Salkova,16,16
2026-06-23,ATP,Wimbledon,Noma Noha Akugue,Lisa Pigato,13,9
2026-06-23,ATP,Wimbledon,Oceane Dodin,Laura Pigossi,13,9
2026-06-23,ATP,Wimbledon,Mary Stoiana,Kayla Cross,12,7
2026-06-23,ATP,Wimbledon,Esther Adeshina,Moyuka Uchijima,16,12
2026-06-23,ATP,Wimbledon,Joanna Garland,Celine Naef,16,15
2026-06-23,ATP,Wimbledon,Fiona Crawley,Himeno Sakatsume,18,17
2026-06-23,ATP,Wimbledon,Katherine Sebov,Jazmin Ortenzi,16,11
2026-06-23,ATP,Wimbledon,Francisca Jorge,Dalma Galfi,13,9
2026-06-23,ATP,Wimbledon,Ashlyn Krueger,Gabriela Knutson,14,10
2026-06-23,ATP,Wimbledon,Bai Zhuoxuan,Tamara Zidansek,13,7
2026-06-23,ATP,Wimbledon,Veronika Podrez,Arantxa Rus,12,8
2026-06-23,ATP,Wimbledon,Jeline Vandromme,Yuan Yue,16,8
2026-06-23,ATP,Wimbledon,Tiantsoa Rakotomanga Rajaonah,Carol Young Suh Lee,16,13
2026-06-23,ATP,Wimbledon,Hayu Kinoshita,Viktoriya Tomova,13,8
2026-06-23,ATP,Wimbledon,Elvina Kalieva,Ella McDonald,16,16
2026-06-23,ATP,Wimbledon,Wang Xiyu,Guo Hanyu,13,9
2026-06-23,ATP,Wimbledon,Maria Lourdes Carle,Lucie Havlickova,18,16
2026-06-23,ATP,Wimbledon,Katie Volynets,Laura Samson,13,7
2026-06-23,ATP,Wimbledon,Zhu Lin,Mona Barthel,12,7
2026-06-23,ATP,Wimbledon,Maria Timofeeva,Whitney Osuigwe,12,5
2026-06-23,ATP,Wimbledon,Clervie Ngounoue,Anna-Lena Friedsam,13,8
2026-06-23,ATP,Wimbledon,Mariam Bolkvadze,Julia Grabher,13,10
2026-06-23,ATP,Wimbledon,Leolia Jeanjean,You Xiaodi,16,11
2026-06-23,ATP,Wimbledon,Heather Watson,Mayar Sherif,12,4
2026-06-23,ATP,Wimbledon,Rebecca Sramkova,Viktoria Hruncakova,14,12
2026-06-23,ATP,Wimbledon,Polina Kudermetova,Jessika Ponchet,13,11
2026-06-23,ATP,Wimbledon,Bianca Andreescu,Polona Hercog,12,6
2026-06-23,ATP,Wimbledon,Elizara Yaneva,Yuriko Lily Miyazaki,12,6
2026-06-23,ATP,Wimbledon,Robin Montgomery,Caroline Dolehide,13,10
2026-06-23,ATP,Wimbledon,Alina Charaeva,Elizabeth Mandlik,12,6
2026-06-23,ATP,Wimbledon,Aliaksandra Sasnovich,Katy Dunne,13,11
2026-06-23,ATP,Wimbledon,Marina Bassols Ribera,Lola Radivojevic,19,15
2026-06-23,ATP,Wimbledon,Tatiana Prozorova,Carole Monnet,12,6
2026-06-23,ATP,Wimbledon,Teodora Kostovic,Yeonwoo Ku,12,5
2026-06-23,ATP,Wimbledon,Mai Hontama,Akasha Urhobo,13,9
2026-06-24,ATP,Wimbledon,Jaime Faria,Luka Pavlovic,12,8
2026-06-24,ATP,Wimbledon,Pablo Llamas Ruiz,Pol Martin Tiffon,12,6
2026-06-24,ATP,Wimbledon,Dusan Lajovic,Chris Rodesch,12,6
2026-06-24,ATP,Wimbledon,Tristan Boyer,Andrea Pellegrino,12,3
2026-06-24,ATP,Wimbledon,Timofey Skatov,Elias Ymer,12,5
2026-06-24,ATP,Wimbledon,SoonWoo Kwon,Arthur Gea,17,14
2026-06-24,ATP,Wimbledon,Leolia Jeanjean,Ekaterine Gorgodze,12,5
2026-06-24,ATP,Wimbledon,Kyrian Jacquet,Andrea Guerrieri,13,10
2026-06-24,ATP,Wimbledon,Alejandro Moro Canas,Harold Mayot,13,9
2026-06-24,ATP,Wimbledon,Rei Sakamoto,Aziz Dougaz,12,8
2026-06-24,ATP,Wimbledon,Nicolai Budkov Kjaer,Matej Dodig,13,8
2026-06-24,ATP,Wimbledon,Aliaksandra Sasnovich,Storm Hunter,18,13
2026-06-24,ATP,Wimbledon,Darja Semenistaja,Nao Hibino,13,12
2026-06-24,ATP,Wimbledon,Vilius Gaubas,Henry Searle,14,12
2026-06-24,ATP,Wimbledon,Lucia Bronzetti,Justina Mikulskyte,12,6
2026-06-24,ATP,Wimbledon,Iryna Shymanovich,Greet Minnen,12,6
2026-06-24,ATP,Wimbledon,Lina Gjorcheska,Francisca Jorge,17,10
2026-06-24,ATP,Wimbledon,Oceane Dodin,Lulu Sun,14,12
2026-06-24,ATP,Wimbledon,Otto Virtanen,Luca Nardi,12,8
2026-06-24,ATP,Wimbledon,Anastasia Gasanova,Emerson Jones,17,14
2026-06-24,ATP,Wimbledon,Katarzyna Kawa,Lucrezia Stefanini,14,12
2026-06-24,ATP,Wimbledon,Elena Pridankina,Suzan Lamens,17,14
2026-06-24,ATP,Wimbledon,Kayla Day,Erika Andreeva,12,4
2026-06-24,ATP,Wimbledon,Alina Korneeva,Andrea Lazaro Garcia,19,14
2026-06-24,ATP,Wimbledon,Fiona Crawley,Julia Riera,16,14
2026-06-24,ATP,Wimbledon,Claire Liu,Kaitlin Quevedo,12,8
2026-06-24,ATP,Wimbledon,Katherine Sebov,Noma Noha Akugue,18,16
2026-06-24,ATP,Wimbledon,Mananchaya Sawangkaew,Mary Stoiana,15,15
2026-06-24,ATP,Wimbledon,Tyra Caterina Grant,Joanna Garland,12,8
2026-06-24,ATP,Wimbledon,Harmony Tan,Esther Adeshina,12,4
2026-06-24,ATP,Wimbledon,Zhu Lin,Tiantsoa Rakotomanga Rajaonah,12,5
2026-06-24,ATP,Wimbledon,Moez Echargui,Keegan Smith,16,16
2026-06-24,ATP,Wimbledon,Christopher O'Connell,Bernard Tomic,12,8
