ts,tour,tournament,surface,commence_time,player_a,player_b,pick,p_model,kalshi_prob,odds,edge_pct,kelly_pct,stake,volume,event_ticker
2026-08-24T21:33:14.400711+00:00,WTA,US Open,Hard,2026-08-24T17:00:00Z,Laura Pigossi,Despina Papamichail,Despina Papamichail,0.534,0.253,3.96,111.3,37.6,26.62,1663.53,KXWTAMATCH-26AUG24PIGPAP
2026-08-24T21:33:14.400711+00:00,ATP,US Open,Hard,2026-08-24T17:00:00Z,Bernard Tomic,Lloyd Harris,Bernard Tomic,0.502,0.253,3.96,98.6,33.4,23.59,9718.37,KXATPMATCH-26AUG24TOMHAR
2026-08-24T21:33:14.400711+00:00,WTA,WTA Monterrey Round Of 32,Clay,2026-08-23T19:00:00Z,Dayana Yastremska,Janice Tjen,Dayana Yastremska,0.516,0.345,2.9,49.4,26.1,18.43,16357.85,KXWTAMATCH-26AUG23TJEYAS
2026-08-24T21:33:14.400711+00:00,ATP,US Open,Hard,2026-08-24T17:00:00Z,Otto Virtanen,Ugo Blanchet,Ugo Blanchet,0.498,0.335,2.98,48.7,24.6,17.37,15684.94,KXATPMATCH-26AUG24VIRBLA
2026-08-24T21:33:14.400711+00:00,ATP,US Open,Hard,2026-08-24T17:00:00Z,Pablo Llamas Ruiz,Alex Bolt,Alex Bolt,0.454,0.315,3.18,44.4,20.4,14.43,3181.51,KXATPMATCH-26AUG24BOLLLA
2026-08-24T21:33:14.400711+00:00,ATP,US Open,Hard,2026-08-24T17:00:00Z,Henrique Rocha,Michael Mmoh,Michael Mmoh,0.585,0.437,2.29,33.7,26.2,18.52,5434.02,KXATPMATCH-26AUG24ROCMMO
2026-08-24T21:33:14.400711+00:00,ATP,US Open,Hard,2026-08-24T17:00:00Z,Alexandre Muller,Laslo Djere,Alexandre Muller,0.54,0.417,2.4,29.5,21.1,14.94,37529.49,KXATPMATCH-26AUG24DJEMUL
2026-08-24T21:33:14.400711+00:00,ATP,US Open,Hard,2026-08-24T17:00:00Z,Sebastian Ofner,Kei Nishikori,Kei Nishikori,0.646,0.508,1.97,27.3,28.1,19.88,11618.06,KXATPMATCH-26AUG24OFNNIS
2026-08-24T21:33:14.400711+00:00,WTA,US Open,Hard,2026-08-24T17:00:00Z,Whitney Osuigwe,Mona Barthel,Whitney Osuigwe,0.527,0.427,2.34,23.4,17.5,12.35,14933.7,KXWTAMATCH-26AUG24OSUBAR
2026-08-24T21:33:14.400711+00:00,WTA,US Open,Hard,2026-08-24T17:00:00Z,Sara Sorribes Tormo,Noma Noha Akugue,Noma Noha Akugue,0.449,0.366,2.73,22.7,13.1,9.27,4764.09,KXWTAMATCH-26AUG24SORNOH
2026-08-24T21:33:14.400711+00:00,WTA,WTA Monterrey Round Of 32,Clay,2026-08-23T19:00:00Z,Renata Zarazua,Clara Tauson,Renata Zarazua,0.346,0.284,3.52,21.8,8.6,6.1,17333.67,KXWTAMATCH-26AUG23TAUZAR
2026-08-24T21:33:14.400711+00:00,WTA,WTA Monterrey Round Of 32,Clay,2026-08-23T19:00:00Z,Alycia Parks,Petra Marcinko,Petra Marcinko,0.61,0.537,1.86,13.5,15.7,11.11,12926.99,KXWTAMATCH-26AUG23PARMAR
2026-08-24T21:33:14.400711+00:00,WTA,WTA Monterrey Round Of 32,Clay,2026-08-23T19:00:00Z,Donna Vekic,Diane Parry,Diane Parry,0.498,0.447,2.24,11.4,9.2,6.5,7340.67,KXWTAMATCH-26AUG23PARVEK
2026-08-24T21:33:14.400711+00:00,ATP,ATP Winston Salem Round Of 32,Hard,2026-08-25T01:30:00Z,Stefanos Tsitsipas,Jenson Brooksby,Jenson Brooksby,0.474,0.437,2.29,8.5,6.6,4.64,37041.13,KXATPMATCH-26AUG24BROTSI
2026-08-24T21:33:14.400711+00:00,WTA,US Open,Hard,2026-08-24T17:00:00Z,Maddison Inglis,Storm Hunter,Storm Hunter,0.566,0.527,1.9,7.2,8.1,5.7,3137.56,KXWTAMATCH-26AUG24HUNING
2026-08-24T21:33:14.400711+00:00,WTA,WTA Monterrey Round Of 32,Clay,2026-08-25T19:00:00Z,Anhelina Kalinina,Maya Joint,Anhelina Kalinina,0.596,0.557,1.79,6.9,8.7,6.17,920.8,KXWTAMATCH-26AUG25KALJOI
2026-08-24T21:33:14.400711+00:00,WTA,US Open,Hard,2026-08-24T17:00:00Z,Katarzyna Kawa,Ekaterine Gorgodze,Ekaterine Gorgodze,0.454,0.427,2.34,6.3,4.7,3.33,2046.15,KXWTAMATCH-26AUG24GORKAW
